text,label
"there's a neat twist , subtly rendered , that could have wrapped things up at 80 minutes , but kang tacks on three or four more endings .",0
a cumbersome and cliche-ridden movie greased with every emotional device known to man .,0
"makes for some truly odd , at times confusing , kids entertainment . . . but at least this time there's some centered storytelling to go along with all the weird stuff .",0
"large budget notwithstanding , the movie is such a blip on the year's radar screen that it's tempting just to go with it for the ride . but this time , the old mib label stands for milder isn't better .",0
it manages to squeeze by on angelina jolie's surprising flair for self-deprecating comedy .,1
about as cutting-edge as pet rock : the movie .,0
one of those so-so films that could have been much better .,0
mediocre fable from burkina faso .,0
"kenneth branagh's energetic sweet-and-sour performance as a curmudgeonly british playwright grounds this overstuffed , erratic dramedy in which he and his improbably forbearing wife contend with craziness and child-rearing in los angeles .",0
the story has some nice twists but the ending and some of the back-story is a little tired . the performances are all solid ; it merely lacks originality to make it a great movie .,1
"in the end , the film feels homogenized and a bit contrived , as if we're looking back at a tattered and ugly past with rose-tinted glasses .",0
"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists .",1
"the april 2002 instalment of the american war for independence , complete with loads of cgi and bushels of violence , but not a drop of human blood .",0
the one not-so-small problem with expecting is that the entire exercise has no real point .,0
less about shakespeare than the spawn of fools who saw quentin tarantino's handful of raucous gangster films and branched out into their own pseudo-witty copycat interpretations .,0
"the art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack .",0
the pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,1
the mantra behind the project seems to have been 'it's just a kids' flick . ' translation : 'we don't need to try very hard . ',0
"to call the other side of heaven "" appalling "" would be to underestimate just how dangerous entertainments like it can be .",0
a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,1
"a fragile framework upon which to hang broad , mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming .",0
effectively feeds our senses with the chilling sights and sounds from within the camp to create a completely numbing experience .,1
for the most part stevens glides through on some solid performances and witty dialogue .,1
a movie in which two not very absorbing characters are engaged in a romance you can't wait to see end .,0
"we get an image of big papa spanning history , rather than suspending it .",1
"you'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .",1
"branagh , in his most forceful non-shakespeare screen performance , grounds even the softest moments in the angry revolt of his wit .",1
the piano teacher is the sort of movie that discourages american audiences from ever wanting to see another foreign film .,0
"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that's scarcely a surprise by the time it arrives .",0
""" my god , i'm behaving like an idiot ! "" yes , you are , ben kingsley .",0
a moving and weighty depiction of one family's attempts to heal after the death of a child .,1
"a work of extraordinary journalism , but it is also a work of deft and subtle poetry .",1
a sometimes tedious film .,0
eric schweig and graham greene both exude an air of dignity that's perfect for the proud warrior that still lingers in the souls of these characters .,1
"clever and unflinching in its comic barbs , slap her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .",1
a film of ideas and wry comic mayhem .,1
the sum of all fears is almost impossible to follow -- and there's something cringe-inducing about seeing an american football stadium nuked as pop entertainment .,0
"too smart to ignore but a little too smugly superior to like , this could be a movie that ends up slapping its target audience in the face by shooting itself in the foot .",0
full of the kind of obnoxious chitchat that only self-aware neurotics engage in .,0
"although very much like the first movie based on j . k . rowling's phenomenal fantasy best sellers , this second go-round possesses a quite pleasing , headlong thrust and a likably delinquent attitude .",1
a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1
"this rush to profits has created a predictably efficient piece of business notable largely for its overwhelming creepiness , for an eagerness to create images you wish you hadn't seen , which , in this day and age , is of course the point .",1
"kids five and up will be delighted with the fast , funny , and even touching story . parents may even find that it goes by quickly , because it has some of the funniest jokes of any movie this year , including those intended for adults .",1
"amid the cliché and foreshadowing , cage manages a degree of casual realism . . . that is routinely dynamited by blethyn .",0
"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated .",1
"a bold and subversive film that cuts across the grain of what is popular and powerful in this high-tech age , speaking its truths with spellbinding imagery and the entrancing music of philip glass .",1
"there are some fairly unsettling scenes , but they never succeed in really rattling the viewer .",0
possibly not since grumpy old men have i heard a film so solidly connect with one demographic while striking out with another .,0
it's clear that mehta simply wanted to update her beloved genre for the thousands of indians who fancy themselves too sophisticated for the cheese-laced spectacles that pack 'em in on the subcontinent .,1
"soderbergh seems capable only of delivering artfully lighted , earnest inquiries that lack the kind of genuine depth that would make them redeemable .",0
"director tom dey demonstrated a knack for mixing action and idiosyncratic humor in his charming 2000 debut shanghai noon , but showtime's uninspired send-up of tv cop show cliches mostly leaves him shooting blanks .",0
"i think it was plato who said , 'i think , therefore i know better than to rush to the theatre for this one . '",0
serious and thoughtful .,1
"a 93-minute condensation of a 26-episode tv series , with all of the pitfalls of such you'd expect .",0
"somewhat blurred , but kinnear's performance is razor sharp .",1
the film's performances are thrilling .,1
"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch .",0
"legendary irish writer brendan behan's memoir , borstal boy , has been given a loving screen transferral .",1
"this charming but slight tale has warmth , wit and interesting characters compassionately portrayed .",1
woefully pretentious .,0
the movie is pretty funny now and then without in any way demeaning its subjects .,1
"ranging from funny to shattering and featuring some of the year's best acting , personal velocity gathers plenty of dramatic momentum .",1
just one bad idea after another .,0
the performances are uniformly good .,1
"pretend it's a werewolf itself by avoiding eye contact and walking slowly away . it's fun , but it's a real howler .",0
looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter's imagination .,0
"'all in all , reign of fire will be a good ( successful ) rental . '",0
an afterschool special without the courage of its convictions .,0
"working from elliott's memoir , rohmer fashions the sort of delicate , articulate character- and- relationship study he's favored for decades .",1
"i've had more interesting -- and , dare i say , thematically complex -- bowel movements than this long-on-the-shelf , point-and-shoot exercise in gimmicky crime drama .",0
"at its best , which occurs often , michael moore's bowling for columbine rekindles the muckraking , soul-searching spirit of the 'are we a sick society ? ' journalism of the 1960s .",1
"i am not generally a huge fan of cartoons derived from tv shows , but hey arnold ! the movie is clever , offbeat and even gritty enough to overcome my resistance .",1
seems like someone going through the motions .,0
"like its title character , esther kahn is unusual but unfortunately also irritating .",0
"an uncluttered , resonant gem that relays its universal points without lectures or confrontations .",1
"É uma pena que , mais tarde , o próprio filme abandone o tom de paródia e passe a utilizar os mesmos clichês que havia satirizado .",1
"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy .",0
